自分	じぶん
場合	ばあい
思い	おもい
時間	じかん
今日	きょう|こんにち
思う	おもう
考え	かんがえ
会社	かいしゃ|がいしゃ
言う	いう|ゆう
同じ	どうじ|おなじ|おんなじ
多い	おおい
今回	こんかい
多く	おおく
生活	せいかつ
出来	でき|しゅったい|しゅつらい
少し	すこし
社会	しゃかい
人間	にんげん|じんかん
行く	いく|ゆく
電話	でんわ
名前	なまえ
一番	いちばん
今年	こんねん|ことし
今日は	こんにちは
高い	たかい|だかい
中国	ちゅうこく
教え	おしえ
地図	ちず
行き	いき|ゆき
日記	にっき
通り	とおり|どおり
新しい	あたらしい
中心	ちゅうしん
近く	ちかく|じかく
明日	あす|あした|みょうにち
読む	よむ
音楽	おんがく
大会	たいかい|だいえ
計画	けいかく
毎日	まいにち
今後	こんご
行う	おこなう|おこのう
考える	かんがえる
書く	かく
出来る	できる
強い	しい|じい|つよい|づよい|こわい
高校	こうこう
お前	おまえ
地方	ちほう|じかた
当時	とうじ
大切	たいせつ
市場	いちば|しじょう
作り	つくり|づくり
公園	こうえん
番組	ばんぐみ
年間	ねんかん
元気	げんき
楽しい	たのしい
来る	くる|きたる
読み	よみ
週間	しゅうかん
合わせ	あわせ
海外	かいがい
新聞	しんぶん
行い	おこない
土地	とち
十分	じゅうぶん
話し	はなし|ばなし
少ない	すくない
出会い	であい
近い	ちかい
作る	つくる|づくる
交通	こうつう
回答	かいとう
科学	かがく
教室	きょうしつ
国内	こくない
会場	かいじょう
地元	じもと
一方	いっぽう|ひとかた
当社	とうしゃ
午後	ごご
答え	こたえ
書き	かき|がき
社長	しゃちょう
先頭	せんとう
長い	ながい
中古	ちゅうこ|ちゅうぶる
新た	あらた
買い	かい|がい
活用	かつよう
上記	じょうき
気分	きぶん
外国	がいこく|とつくに
下記	かき
聞き	きき|ぎき
友人	ゆうじん
明らか	あきらか
食べる	たべる
帰り	かえり|がえり
空間	くうかん
分かり	わかり
少年	しょうねん
自体	じたい
買う	かう|こう
電子	でんし
計算	けいさん
工場	こうじょう|こうば
国家	こっか
電車	でんしゃ
聞く	きく
多数	たすう
止め	とめ|やめ|とどめ|どめ
午前	ごぜん
市内	しない
自ら	じら|みずから
電気	でんき
分野	ぶんや
組合	くみあい
会長	かいちょう
本当	ほんとう|ほんと
一切	いっさい
知る	しる
当日	とうじつ
少女	しょうじょ|おとめ
時点	じてん
今週	こんしゅう
日間	にっかん|にちかん|かかん|じつかん
正直	しょうじき
来年	らいねん
毎年	まいとし|まいねん
古い	ふるい|ふりい
歩き	あるき|ありき
切れ	きれ|ぎれ
何の	どの
分かる	わかる
後ろ	うしろ
立場	たちば
本来	ほんらい
多分	たぶん
楽しむ	たのしむ
前回	ぜんかい
半分	はんぶん
会話	かいわ
楽天	らくてん
作家	さっか
引き	ひき|びき
用語	ようご
一言	いちげん|いちごん|ひとこと
一体	いったい
一時	いっとき|いちどき|いちじ|ひととき
万人	ばんにん|ばんじん|まんにん
語る	かたる
売り	うり
前後	ぜんご
後半	こうはん
今月	こんげつ
楽しめる	たのしめる
記入	きにゅう
会計	かいけい
お茶	おちゃ
市長	しちょう
歩く	あるく|ありく
当たり	あたり
出場	しゅつじょう|でば
売買	ばいばい
聞こえ	きこえ
思い出	おもいで
走る	はしる|ばしる
数字	すうじ
言える	いえる|ゆえる
人数	にんずう|にんず|ひとかず
当店	とうてん
時計	とけい|どけい
夕方	ゆうがた
広い	ひろい
通知	つうち
母親	ははおや
多少	たしょう
分け	わけ
手作り	てづくり
当たり前	あたりまえ
切り	きり|ぎり
大分	だいぶ|だいぶん|おおいた
広場	ひろば
学会	がっかい
遠く	とおく|どおく
楽し	たのし
国道	こくどう
